Uchida S@Kamoi K,1
Sasaki S@Kamoi K,1
Uchida S@Sasaki S,1
Koren G@Blanchette V,1
Yoshioka A@Fukutake K,14
Yoshioka A@Takamatsu J,12
Yoshioka A@Shirahata A,12
Takamatsu J@Fukutake K,10
Shirahata A@Fukutake K,12
Takamatsu J@Shirahata A,10
Saxena R@Kannan M,7
Saxena R@Choudhry VP,8
Kannan M@Choudhry VP,4
Lombardo A@Follenzi A,3
Follenzi A@Annoni A,1
Roncarolo MG@Follenzi A,1
Naldini L@Follenzi A,4
Lombardo A@Annoni A,2
Roncarolo MG@Lombardo A,1
Naldini L@Lombardo A,3
Roncarolo MG@Annoni A,3
Naldini L@Annoni A,5
Roncarolo MG@Naldini L,3
Poláková H@Kádasi L,2
Caksen H@Akbayram S,1
Caksen H@Arslan S,2
Uner A@Caksen H,2
Arslan S@Akbayram S,1
Uner A@Akbayram S,1
Uner A@Arslan S,2
Wu HL@Chang YJ,2
Hsu YC@Chang YJ,3
Hamaguchi N@Chang YJ,3
Shi GY@Chang YJ,1
Shen MC@Chang YJ,1
Lin SW@Chang YJ,4
Wu HL@Hsu YC,2
Wu HL@Hamaguchi N,3
Wu HL@Shi GY,3
Wu HL@Shen MC,1
Wu HL@Lin SW,4
Hsu YC@Hamaguchi N,3
Shi GY@Hsu YC,1
Shen MC@Hsu YC,2
Lin SW@Hsu YC,6
Shi GY@Hamaguchi N,2
Shen MC@Hamaguchi N,4
Lin SW@Hamaguchi N,7
Shi GY@Shen MC,1
Shi GY@Lin SW,3
Shen MC@Lin SW,12
Sabo E@Hoffman A,1
Patel N@Lee C,1
Patel N@Gerstenfeld LC,1
Patel N@Einhorn TA,1
Lee C@Gerstenfeld LC,1
Lee C@Einhorn TA,1
Gerstenfeld LC@Einhorn TA,2
Stewart D@Marder VJ,2
Marder VJ@Kong M,3
Marder VJ@Humphries J,1
Marder VJ@Baumbach GA,1
Marder VJ@Jesmok G,2
Stewart D@Kong M,2
Stewart D@Humphries J,1
Stewart D@Baumbach GA,1
Stewart D@Jesmok G,2
Kong M@Humphries J,1
Kong M@Baumbach GA,1
Kong M@Jesmok G,2
Humphries J@Baumbach GA,1
Jesmok G@Humphries J,1
Jesmok G@Baumbach GA,1
Ayres KL@Anagnostopoulos T,1
Giannelli F@Anagnostopoulos T,3
Green PM@Anagnostopoulos T,3
Giannelli F@Ayres KL,2
Green PM@Ayres KL,2
Green PM@Giannelli F,38
Ling M@Duncan EM,3
Rodgers SE@Ling M,3
Street AM@Ling M,2
Lloyd JV@Ling M,3
Rodgers SE@Duncan EM,6
Street AM@Duncan EM,3
Lloyd JV@Duncan EM,9
Street AM@Rodgers SE,2
Rodgers SE@Lloyd JV,8
Street AM@Lloyd JV,4
Simoni L@Marietta M,1
Marietta M@Bertesi M,2
Torelli G@Marietta M,2
Volpe A@Marietta M,1
Simoni L@Bertesi M,1
Torelli G@Simoni L,1
Volpe A@Simoni L,1
Torelli G@Bertesi M,2
Volpe A@Bertesi M,1
Volpe A@Torelli G,1
Wilcox DA@Shi Q,10
Wilcox DA@Nurden P,2
Wilcox DA@Haberichter SL,3
Wilcox DA@Rosenberg JB,1
Wilcox DA@Johnson BD,2
Wilcox DA@Nurden AT,2
Wilcox DA@White GC 2nd,1
Wilcox DA@Montgomery RR,8
Shi Q@Nurden P,2
Shi Q@Haberichter SL,4
Shi Q@Rosenberg JB,1
Shi Q@Johnson BD,3
Shi Q@Nurden AT,2
White GC 2nd@Shi Q,1
Shi Q@Montgomery RR,24
Nurden P@Haberichter SL,2
Rosenberg JB@Nurden P,1
Nurden P@Johnson BD,1
Nurden P@Nurden AT,3
White GC 2nd@Nurden P,1
Nurden P@Montgomery RR,2
Rosenberg JB@Haberichter SL,2
Johnson BD@Haberichter SL,1
Nurden AT@Haberichter SL,2
White GC 2nd@Haberichter SL,1
Montgomery RR@Haberichter SL,6
Rosenberg JB@Johnson BD,1
Rosenberg JB@Nurden AT,1
White GC 2nd@Rosenberg JB,1
Rosenberg JB@Montgomery RR,4
Nurden AT@Johnson BD,1
White GC 2nd@Johnson BD,1
Montgomery RR@Johnson BD,2
White GC 2nd@Nurden AT,1
Nurden AT@Montgomery RR,2
White GC 2nd@Montgomery RR,1
Grailly SC@Gilles JG,1
Gilles JG@De Maeyer M,1
Jacquemin MG@Gilles JG,5
Saint-Remy JM@Gilles JG,18
Grailly SC@De Maeyer M,1
Jacquemin MG@Grailly SC,1
Saint-Remy JM@Grailly SC,2
Jacquemin MG@De Maeyer M,1
Saint-Remy JM@De Maeyer M,2
Saint-Remy JM@Jacquemin MG,8
Tian Y@Guo RX,2
Wang P@Glueck CJ,26
Goldenberg N@Glueck CJ,11
Sieve L@Glueck CJ,4
Wang P@Goldenberg N,11
Wang P@Sieve L,4
Sieve L@Goldenberg N,4
Uthman I@Taher A,2
Vos HL@Tans G,1
Vos HL@Rosing J,1
Vos HL@Bertina RM,8
Tans G@Rosing J,12
Tans G@Bertina RM,2
Rosing J@Bertina RM,4
Healey JF@Doering CB,3
Parker ET@Doering CB,11
Doering CB@Barrow RT,2
Lollar P@Doering CB,14
Parker ET@Healey JF,20
Healey JF@Barrow RT,15
Lollar P@Healey JF,36
Parker ET@Barrow RT,12
Parker ET@Lollar P,36
Lollar P@Barrow RT,18
Straight DL@Lin PJ,2
Stafford DW@Lin PJ,3
Straight DL@Stafford DW,10
Totsugawa T@Kobayashi N,3
Totsugawa T@Maruyama M,1
Totsugawa T@Kosaka Y,1
